Month,Division,Line,Day Type,Reporting Category,Subcategory,Incidents
2025-01-01,A DIVISION,1,1,,,0
2025-01-01,A DIVISION,1,1,Crew Availability,Crew Availability,19
2025-01-01,A DIVISION,1,1,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,1,1,External Factors,External Debris on Roadbed,2
2025-01-01,A DIVISION,1,1,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Braking,5
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Door-Related,6
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,"Fire, Smoke, Debris",2
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other - CE,5
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other - Sig,23
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other Infrastructure,3
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Other Internal Disruptions,2
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Propulsion,2
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Rail and Roadbed,4
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Service Delivery,8
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,1,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,1
2025-01-01,A DIVISION,1,1,Operating Conditions,Other Operating Environment,39
2025-01-01,A DIVISION,1,1,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,1,1,Planned ROW Work,Capital Work - Other Planned ROW,1
2025-01-01,A DIVISION,1,1,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,1,1,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,1,1,Planned ROW Work,Subways Maintenance,37
2025-01-01,A DIVISION,1,1,Planned ROW Work,Work Equipment,4
2025-01-01,A DIVISION,1,1,Police & Medical,Persons on Roadbed,3
2025-01-01,A DIVISION,1,1,Police & Medical,"Public Conduct, Crime, Police Response",77
2025-01-01,A DIVISION,1,1,Police & Medical,Sick/Injured Customer,11
2025-01-01,A DIVISION,1,2,,,0
2025-01-01,A DIVISION,1,2,Crew Availability,Crew Availability,6
2025-01-01,A DIVISION,1,2,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,1,2,External Factors,External Debris on Roadbed,0
2025-01-01,A DIVISION,1,2,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Braking,2
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Door-Related,3
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Other - CE,3
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Other - Sig,6
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Other Infrastructure,1
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Other Internal Disruptions,0
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Propulsion,1
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Rail and Roadbed,2
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Service Delivery,4
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,1,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,1
2025-01-01,A DIVISION,1,2,Operating Conditions,Other Operating Environment,11
2025-01-01,A DIVISION,1,2,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,1,2,Planned ROW Work,Capital Work - Other Planned ROW,2
2025-01-01,A DIVISION,1,2,Planned ROW Work,Insufficient Supplement Schedule,1
2025-01-01,A DIVISION,1,2,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,1,2,Planned ROW Work,Subways Maintenance,11
2025-01-01,A DIVISION,1,2,Planned ROW Work,Work Equipment,1
2025-01-01,A DIVISION,1,2,Police & Medical,Persons on Roadbed,2
2025-01-01,A DIVISION,1,2,Police & Medical,"Public Conduct, Crime, Police Response",25
2025-01-01,A DIVISION,1,2,Police & Medical,Sick/Injured Customer,5
2025-01-01,A DIVISION,2,1,,,0
2025-01-01,A DIVISION,2,1,Crew Availability,Crew Availability,13
2025-01-01,A DIVISION,2,1,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,2,1,External Factors,External Debris on Roadbed,0
2025-01-01,A DIVISION,2,1,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Braking,1
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Door-Related,1
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other - CE,6
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other - Sig,15
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other Infrastructure,3
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Other Internal Disruptions,7
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Propulsion,4
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Rail and Roadbed,4
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Service Delivery,15
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,2,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,4
2025-01-01,A DIVISION,2,1,Operating Conditions,Other Operating Environment,45
2025-01-01,A DIVISION,2,1,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,2,1,Planned ROW Work,Capital Work - Other Planned ROW,1
2025-01-01,A DIVISION,2,1,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,2,1,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,2,1,Planned ROW Work,Subways Maintenance,39
2025-01-01,A DIVISION,2,1,Planned ROW Work,Work Equipment,0
2025-01-01,A DIVISION,2,1,Police & Medical,Persons on Roadbed,4
2025-01-01,A DIVISION,2,1,Police & Medical,"Public Conduct, Crime, Police Response",121
2025-01-01,A DIVISION,2,1,Police & Medical,Sick/Injured Customer,21
2025-01-01,A DIVISION,2,2,,,0
2025-01-01,A DIVISION,2,2,Crew Availability,Crew Availability,5
2025-01-01,A DIVISION,2,2,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,2,2,External Factors,External Debris on Roadbed,0
2025-01-01,A DIVISION,2,2,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Braking,0
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Door-Related,1
